nu (cm^-1),absorbance
4.383374521000000641e+03,1.515572659508544473e-01
4.383375520999999935e+03,1.520109958693294239e-01
4.383376521000000139e+03,1.524551646671009619e-01
4.383377521000000343e+03,1.528888535326978215e-01
4.383378521000000546e+03,1.533111927429349486e-01
4.383379520999999841e+03,1.537213681990248770e-01
4.383380521000000044e+03,1.541188196960948664e-01
4.383381521000000248e+03,1.545024811272355247e-01
4.383382521000000452e+03,1.548719099609232874e-01
4.383383521000000655e+03,1.552266264430777476e-01
4.383384520999999950e+03,1.555661602604911931e-01
4.383385521000000153e+03,1.558901526013010963e-01
4.383386521000000357e+03,1.561983339172248464e-01
4.383387521000000561e+03,1.564905256945297585e-01
4.383388520999999855e+03,1.567666409124537086e-01
4.383389521000000059e+03,1.570266835577711073e-01
4.383390521000000263e+03,1.572707471356367404e-01
4.383391521000000466e+03,1.574990131241066904e-01
4.383392521000000670e+03,1.577117439128196130e-01
4.383393520999999964e+03,1.579092840347570692e-01
4.383394521000000168e+03,1.580920514413575173e-01
4.383395521000000372e+03,1.582657396984771536e-01
4.383396521000000575e+03,1.584204879347758943e-01
4.383397520999999870e+03,1.585621178424542754e-01
4.383398521000000073e+03,1.586912563550137711e-01
4.383399521000000277e+03,1.588086000047903568e-01
4.383400521000000481e+03,1.589148800270799577e-01
4.383401521000000685e+03,1.590108901619586290e-01
4.383402520999999979e+03,1.590973113815937201e-01
4.383403521000000183e+03,1.591749643993381480e-01
4.383404521000000386e+03,1.592446289486784405e-01
4.383405521000000590e+03,1.593070800498222472e-01
4.383406520999999884e+03,1.593630813094783216e-01
4.383407521000000088e+03,1.594133786390227736e-01
4.383408521000000292e+03,1.594587156442751341e-01
4.383409521000000495e+03,1.594997434857271246e-01
4.383410521000000699e+03,1.595371432853169569e-01
4.383411520999999993e+03,1.595715376162591681e-01
4.383412521000000197e+03,1.596035059163768421e-01
4.383413521000000401e+03,1.596335845611829007e-01
4.383414521000000605e+03,1.596622622174146133e-01
4.383415520999999899e+03,1.596899780496895405e-01
4.383416521000000103e+03,1.597171220852487139e-01
4.383417521000000306e+03,1.597440450781399124e-01
4.383418521000000510e+03,1.597710206890787521e-01
4.383419521000000714e+03,1.597982711944476997e-01
4.383420521000000008e+03,1.598259980784659529e-01
4.383421521000000212e+03,1.598543411739806186e-01
4.383422521000000415e+03,1.598833955897143166e-01
4.383423521000000619e+03,1.599132145039925401e-01
4.383424520999999913e+03,1.599438135966976815e-01
4.383425521000000117e+03,1.599751750655365734e-01
4.383426521000000321e+03,1.600072527047382565e-01
4.383427521000000525e+03,1.600399773932444092e-01
4.383428521000000728e+03,1.600732629266621854e-01
4.383429521000000022e+03,1.601070123323960759e-01
4.383430521000000226e+03,1.601411242532267687e-01
4.383431521000000430e+03,1.601754995088482125e-01
4.383432521000000634e+03,1.602100485506891825e-01
4.383433520999999928e+03,1.602446939983260821e-01
4.383434521000000132e+03,1.602793824402472533e-01
4.383435521000000335e+03,1.603140923064631518e-01
4.383436521000000539e+03,1.603488150697529868e-01
4.383437520999999833e+03,1.603835966163882909e-01
4.383438521000000037e+03,1.604185159286330986e-01
4.383439521000000241e+03,1.604537560325507428e-01
4.383440521000000444e+03,1.604893585530412781e-01
4.383441521000000648e+03,1.605255915978389403e-01
4.383442520999999942e+03,1.605627123517996413e-01
4.383443521000000146e+03,1.606010020926968707e-01
4.383444521000000350e+03,1.606409733279490493e-01
4.383445521000000554e+03,1.606826457869355851e-01
4.383446520999999848e+03,1.607265943278622378e-01
4.383447521000000052e+03,1.607732467283742306e-01
4.383448521000000255e+03,1.608230528842778673e-01
4.383449521000000459e+03,1.608764819079547825e-01
4.383450521000000663e+03,1.609340058239315530e-01
4.383451520999999957e+03,1.609961048365256830e-01
4.383452521000000161e+03,1.610632700352335189e-01
4.383453521000000364e+03,1.611359723235529229e-01
4.383454521000000568e+03,1.612146759043451005e-01
4.383455520999999862e+03,1.612998289547306063e-01
4.383456521000000066e+03,1.613918594220236369e-01
4.383457521000000270e+03,1.614911769788853479e-01
4.383458521000000474e+03,1.615981397440990619e-01
4.383459521000000677e+03,1.617130513369945677e-01
4.383460520999999972e+03,1.618363370176777449e-01
4.383461521000000175e+03,1.619682328865976184e-01
4.383462521000000379e+03,1.621089908432522819e-01
4.383463521000000583e+03,1.622588301244520803e-01
4.383464520999999877e+03,1.624179378257524786e-01
4.383465521000000081e+03,1.625864698758685833e-01
4.383466521000000284e+03,1.627648410933751622e-01
4.383467521000000488e+03,1.629525723776102386e-01
4.383468521000000692e+03,1.631500240780373867e-01
4.383469520999999986e+03,1.633572441715221701e-01
4.383470521000000190e+03,1.635742590541350017e-01
4.383471521000000394e+03,1.638010759974657393e-01
4.383472521000000597e+03,1.640376856660819282e-01
4.383473520999999892e+03,1.642840646496446511e-01
4.383474521000000095e+03,1.645401779732756364e-01
4.383475521000000299e+03,1.648059815481559276e-01
4.383476521000000503e+03,1.650814245365246902e-01
4.383477521000000706e+03,1.653666666427432985e-01
4.383478521000000001e+03,1.656612249494446576e-01
4.383479521000000204e+03,1.659652511952111609e-01
4.383480521000000408e+03,1.662786885017158156e-01
4.383481521000000612e+03,1.666014829113989515e-01
4.383482520999999906e+03,1.669335847645010695e-01
4.383483521000000110e+03,1.672749498585991978e-01
4.383484521000000314e+03,1.676255403749337680e-01
4.383485521000000517e+03,1.679853255685246349e-01
4.383486521000000721e+03,1.683542822106660064e-01
4.383487521000000015e+03,1.687323947809378777e-01
4.383488521000000219e+03,1.691196553904353306e-01
4.383489521000000423e+03,1.695160635463066612e-01
