 61 4383.769081 1.701E-25 1.379E-02.04600.061 1417.75280.61-.008700    0 1 0 2 1F2    0 0 0 0 1A1   17F1 97        16F2  3     134332453638 7 1 7   105.0   99.0
 61 4383.776995 1.334E-27 1.086E-02.04500.057 2398.56640.58-.008700    0 1 1 0 1F2    0 0 0 0 1A1   20F1259        21F2  3     333332453637 7 1 7   123.0  129.0
 61 4383.780805 2.803E-25 1.071E-02.04600.063 1250.83700.62-.008700    0 0 1 1 1F1    0 0 0 0 1A1   16F1 92        15F2  1     134332333638 7 1 7    99.0   93.0
 61 4383.787844 5.596E-26 2.137E-03.04600.063 1250.83610.62-.008700    0 0 1 1 1F1    0 0 0 0 1A1   16F2 95        15F1  1     134332453638 7 1 7    99.0   93.0
 61 4383.794772 4.156E-25 4.288E-04.05600.077  157.13710.72-.008700    0 0 1 1 1E     0 0 0 0 1A1    4E  33         5E   1     334332453638 7 1 7    18.0   22.0
 61 4383.797148 1.214E-23 2.798E-01.04700.063 1252.00200.62-.008700    0 0 1 1 1F1    0 0 0 0 1A1   16A2 32        15A1  1     434332 23638 7 1 7   165.0  155.0
 61 4383.808503 6.615E-24 3.700E-03.06500.079   62.87680.73-.008700    0 2 0 1 1F2    0 0 0 0 1A1    3F1 37         3F2  1     334332453638 7 1 7    21.0   21.0
 61 4383.823095 6.277E-27 5.073E-04.04600.061 1417.12920.61-.008700    1 0 0 1 1F2    0 0 0 0 1A1   17F2 96        16F1  2     134332453638 7 1 7   105.0   99.0
 61 4383.851467 1.112E-26 3.327E-02.04600.058 2182.40010.59-.008700    0 1 1 0 1F2    0 0 0 0 1A1   19F1247        20F2  3     133332333637 7 1 7   117.0  123.0
 61 4383.852555 1.641E-27 1.805E-03.04500.058 1976.57420.60-.008700    0 0 1 1 1F1    0 0 0 0 1A1   19F2183        19F1  4     134332453638 7 1 7   117.0  117.0
 61 4383.852868 1.160E-24 4.456E-02.04600.063 1252.02760.62-.008700    0 0 1 1 1F1    0 0 0 0 1A1   16F2 98        15F1  4     234332333638 7 1 7    99.0   93.0
 61 4383.859842 2.546E-24 5.847E-02.04700.063 1251.29130.62-.008700    0 0 1 1 1F1    0 0 0 0 1A1   16A1 33        15A2  1     234332333638 7 1 7   165.0  155.0
 61 4383.861700 4.056E-28 1.662E-03.04600.058 2183.70290.59-.008700    1 0 0 1 1F2    0 0 0 0 1A1   21E  67        20E   4     133332453637 7 1 7    86.0   82.0
 61 4383.879523 4.768E-26 1.286E-02.03800.060 1593.04460.61-.008700    0 2 0 1 1F2    0 0 0 0 1A1   18E  65        17E   1     134332453638 7 1 7    74.0   70.0
 61 4383.889607 1.129E-25 2.159E-02.04600.060 1594.34470.61-.008700    0 2 0 1 1F2    0 0 0 0 1A1   17F1168        17F2  4     134332453638 7 1 7   105.0  105.0
 61 4383.896546 7.014E-24 7.998E-01.04700.060 1593.05600.61-.008700    1 1 0 0 1E     0 0 0 0 1A1   17A2 57        17A1  1     134332453638 7 1 7   175.0  175.0
 61 4383.899420 2.532E-28 2.317E-05.04600.061 1417.75280.61-.008700    0 1 1 0 1F1    0 0 0 0 1A1   15F1187        16F2  3     134332333638 7 1 7    93.0   99.0
 61 4383.900429 8.535E-25 3.273E-02.04600.063 1251.64660.62-.008700    0 0 1 1 1F1    0 0 0 0 1A1   16F1 95        15F2  3     334332453638 7 1 7    99.0   93.0
 61 4383.912045 4.436E-28 4.895E-04.04500.058 1977.17920.60-.008700    0 0 1 1 1F1    0 0 0 0 1A1   19F1186        19F2  5     134332453638 7 1 7   117.0  117.0
 61 4383.919976 9.627E-27 2.882E-02.04600.058 2182.48320.59-.008700    0 1 1 0 1F2    0 0 0 0 1A1   19F2244        20F1  3     133332333637 7 1 7   117.0  123.0
 61 4383.930599 1.264E-24 8.694E-04.06500.077  157.12780.72-.008700    0 0 1 1 1E     0 0 0 0 1A1    4F1 48         5F2  1     334332453638 7 1 7    27.0   33.0
 61 4383.947026 1.399E-25 5.356E-03.04600.063 1251.30180.62-.008700    0 0 1 1 1F1    0 0 0 0 1A1   16F1 94        15F2  2     234332333638 7 1 7    99.0   93.0
 61 4383.960584 1.874E-25 1.052E-03.04800.067  815.11590.63-.008700    0 1 0 2 1F2    0 0 0 0 1A1   13F1 85        12F2  3     334332453638 7 1 7    81.0   75.0
 61 4383.961549 8.373E-28 6.511E-03.04500.057 2398.97780.58-.008700    0 0 1 1 1F1    0 0 0 0 1A1   21F2201        21F1  4     133332453637 7 1 7   129.0  129.0
 61 4383.961649 1.307E-25 2.496E-02.04600.060 1594.02590.61-.008700    0 2 0 1 1F2    0 0 0 0 1A1   17F2167        17F1  4     134332453638 7 1 7   105.0  105.0
 61 4383.967485 4.340E-25 3.710E-02.04600.061 1416.55400.61-.008700    0 2 0 1 1F2    0 0 0 0 1A1   16F2158        16F1  1     134332453638 7 1 7    99.0   99.0
 61 4383.979003 5.776E-25 2.214E-02.04600.063 1251.59050.62-.008700    0 0 1 1 1F1    0 0 0 0 1A1   16F2 97        15F1  2     334332453638 7 1 7    99.0   93.0
 61 4383.982842 7.085E-27 6.497E-04.04600.061 1418.13710.61-.008700    0 1 1 0 1F1    0 0 0 0 1A1   15F1188        16F2  4     334332453638 7 1 7    93.0   99.0
 61 4383.983115 4.935E-26 9.970E-03.04600.060 1593.52290.61-.008700    0 1 1 0 1F2    0 0 0 0 1A1   16F2206        17F1  3     334332453638 7 1 7    99.0  105.0
 61 4384.000575 2.236E-24 5.020E-03.05000.073  470.79880.65-.008700    0 2 0 1 1F2    0 0 0 0 1A1    9E  62         9E   1     134332453638 7 1 7    38.0   38.0
 61 4384.002363 9.453E-28 7.654E-05.04600.061 1417.51970.61-.008700    0 1 0 2 1F2    0 0 0 0 1A1   17F1 97        16F2  2     134332453638 7 1 7   105.0   99.0
 61 4384.005100 6.256E-27 9.851E-03.03800.058 1977.19730.60-.008700    1 0 0 1 1F2    0 0 0 0 1A1   20E  68        19E   3     134332453638 7 1 7    82.0   78.0
 61 4384.015683 1.577E-27 2.560E-05.04000.065  950.12930.62-.008700    0 2 0 1 1F2    0 0 0 0 1A1   13E  87        13E   1     134332453638 7 1 7    54.0   54.0
 61 4384.016305 1.459E-25 7.965E-03.04700.061 1416.55330.61-.008700    0 1 1 0 1F1    0 0 0 0 1A1   15A2 63        16A1  1     334332453638 7 1 7   155.0  165.0
 61 4384.025505 1.409E-27 5.382E-05.04600.063 1250.83700.62-.008700    0 0 1 1 1F1    0 0 0 0 1A1   16F1 93        15F2  1     234332333638 7 1 7    99.0   93.0
 61 4384.027548 5.087E-27 2.483E-02.04500.057 2398.48510.58-.008700    0 1 1 0 1F2    0 0 0 0 1A1   20A1 88        21A2  1     333332453637 7 1 7   205.0  215.0
 61 4384.034861 2.476E-26 4.991E-03.04600.060 1593.04830.61-.008700    0 1 1 0 1F2    0 0 0 0 1A1   16F2205        17F1  2     334332453638 7 1 7    99.0  105.0
 61 4384.045393 5.933E-27 8.160E-04.03800.061 1418.11850.61-.008700    0 1 1 0 1F1    0 0 0 0 1A1   15E 124        16E   3     334332453638 7 1 7    62.0   66.0
 61 4384.056298 3.293E-28 3.457E-04.04400.058 1977.21470.60-.008700    1 0 0 1 1F2    0 0 0 0 1A1   20F2101        19F1  5     134332453638 7 1 7   123.0  117.0
 61 4384.068384 1.083E-23 6.078E-02.04800.067  815.00810.63-.008700    0 1 0 2 1F2    0 0 0 0 1A1   13F1 85        12F2  2     334332453638 7 1 7    81.0   75.0
 61 4384.073372 1.897E-24 7.280E-02.04600.063 1251.80710.62-.008700    0 0 1 1 1F1    0 0 0 0 1A1   16F2 98        15F1  3     234332333638 7 1 7    99.0   93.0
 61 4384.079237 4.369E-28 2.749E-04.03800.059 1778.20430.60-.008700    1 0 0 1 1F2    0 0 0 0 1A1   19E  65        18E   1     134332453638 7 1 7    78.0   74.0
 61 4384.114941 5.631E-23 1.897E-01.04900.067  815.08900.63-.008700    0 0 1 1 1F1    0 0 0 0 1A1   13A1 28        12A2  1     334332453638 7 1 7   135.0  125.0
 61 4384.125764 3.410E-26 2.637E-01.04500.057 2397.80660.58-.008700    1 1 0 0 1E     0 0 0 0 1A1   21F2200        21F1  3     133332453637 7 1 7   129.0  129.0
 61 4384.126037 1.307E-25 6.352E-03.04700.061 1417.57910.61-.008700    0 0 1 1 1F2    0 0 0 0 1A1   17A1 31        16A2  1     134332453638 7 1 7   175.0  165.0
 61 4384.127537 2.353E-27 1.100E-03.04500.059 1778.20460.60-.008700    0 1 1 0 1F2    0 0 0 0 1A1   17F1220        18F2  1     134332333638 7 1 7   105.0  111.0
 61 4384.132011 2.862E-26 1.027E-04.05300.068  690.01740.64-.008700    0 2 0 1 1F2    0 0 0 0 1A1   11F1114        11F2  3     234332333638 7 1 7    69.0   69.0
 61 4384.132701 3.635E-27 3.323E-04.04600.061 1417.51970.61-.008700    0 1 1 0 1F1    0 0 0 0 1A1   15F1187        16F2  2     134332333638 7 1 7    93.0   99.0
 61 4384.134623 3.437E-24 1.930E-02.04800.067  815.11590.63-.008700    0 0 1 1 1F1    0 0 0 0 1A1   13F1 86        12F2  3     234332333638 7 1 7    81.0   75.0
 61 4384.134727 1.091E-24 6.280E-02.03800.063 1251.77970.62-.008700    0 0 1 1 1F1    0 0 0 0 1A1   16E  64        15E   2     234332333638 7 1 7    66.0   62.0
 61 4384.147815 4.599E-26 2.011E-03.04700.063 1252.04610.62-.008700    0 1 1 0 1F2    0 0 0 0 1A1   14F1168        15F2  4     334332453638 7 1 7    87.0   93.0
 61 4384.156815 2.612E-27 4.726E-04.04500.060 1594.34470.61-.008700    0 0 1 1 1F2    0 0 0 0 1A1   18F1 96        17F2  4     134332453638 7 1 7   111.0  105.0
 61 4384.175918 6.377E-28 2.686E-04.04500.059 1779.03020.60-.008700    1 0 0 1 1F2    0 0 0 0 1A1   19F2 98        18F1  1     134332453638 7 1 7   117.0  111.0
 61 4384.177526 1.952E-25 6.446E-04.04800.068  690.04920.64-.008700    0 1 0 2 1F2    0 0 0 0 1A1   12F2 83        11F1  3     134332453638 7 1 7    75.0   69.0
 61 4384.182147 1.224E-27 3.313E-03.04600.058 2181.82080.59-.008700    0 1 0 2 1F2    0 0 0 0 1A1   21F1102        20F2  2     133332453637 7 1 7   129.0  123.0
 61 4384.183773 5.946E-26 2.600E-03.04700.063 1252.02760.62-.008700    0 1 1 0 1F2    0 0 0 0 1A1   14F2169        15F1  4     334332453638 7 1 7    87.0   93.0
 61 4384.184854 5.889E-27 6.470E-03.04500.058 1976.24190.60-.008700    0 0 1 1 1F1    0 0 0 0 1A1   19F2183        19F1  3     134332453638 7 1 7   117.0  117.0
 61 4384.192237 1.042E-27 1.091E-03.04400.058 1976.57420.60-.008700    1 0 0 1 1F2    0 0 0 0 1A1   20F2100        19F1  4     134332453638 7 1 7   123.0  117.0
 61 4384.197586 1.057E-26 2.965E-03.04600.059 1778.20500.60-.008700    0 1 1 0 1F2    0 0 0 0 1A1   17A1 72        18A2  1     134332333638 7 1 7   175.0  185.0
 61 4384.199527 5.855E-27 2.456E-03.04500.059 1778.20460.60-.008700    1 0 0 1 1F2    0 0 0 0 1A1   19F1100        18F2  1     134332453638 7 1 7   117.0  111.0
